F1	F2	F3	F4	F5	y
15.69	-0.771	550.8804585986512	P	D	0
-16.810000000000002	1.959	588.523801454376	Q	C	3
21.09	-1.55	660.8818340972173	P	B	2
15.64	-1.623	374.41454327657834	Q	C	0
14.25	1.426	446.71411953098175	Q	B	0
21.54	1.231	525.1264478689918	P	D	2
-14.05	1.608	343.2643204698524	P	B	3
-21.520000000000003	-1.858	549.7534465961029	Q	B	1
12.31	-0.941	507.14837636628954	Q	D	0
-24.830000000000002	-1.94	627.0401003724104	Q	B	1
16.67	-1.79	728.9370282483756	Q	B	2
3.58	2.006	276.8853735977089	P	D	2
14.96	1.848	971.1594380681344	Q	B	0
-12.98	-1.092	827.7239754310729	Q	D	3
-13.59	0.447	553.4069307424069	P	C	3
-19.06	-1.73	486.22968916929085	Q	C	2
-30.18	-2.557	617.3845301381218	P	C	2
-11.639999999999999	0.455	493.9031032957013	P	C	3
22.669999999999998	-2.479	514.5599931180452	P	B	2
-20.07	-1.472	722.8291929345799	P	D	3
-3.95	2.62	403.8966421235869	Q	B	3
-24.740000000000002	-1.778	484.58415091629115	Q	D	3
-17.27	-1.36	707.2766697308558	P	D	3
-32.75	-2.423	482.92204170480636	Q	B	1
-9.58	1.314	615.8453295161289	Q	A	1
-12.91	-1.236	702.7937006616173	P	C	2
16.82	1.328	650.5817075861348	Q	C	1
19.57	-1.491	477.1811242832588	P	A	2
18.46	1.355	643.8207691879766	P	D	2
16.56	-1.951	462.5976529120609	P	D	0
12.379999999999999	-0.94	793.9939374654377	P	D	0
-16.13	1.375	545.7773603663973	P	B	3
10.760000000000002	1.812	604.4443024093147	Q	D	2
-15.27	1.92	622.6504624609969	Q	C	3
-16.37	1.782	696.50371895371	P	C	3
-3.8600000000000003	-1.448	884.3290579913742	Q	D	3
-12.07	0.242	626.2826438477977	P	C	3
-3.43	1.669	551.5388146509059	P	D	2
10.79	-0.768	554.1336971497158	Q	C	0
10.03	1.972	573.9227677320863	Q	B	0
15.56	0.955	494.1166458254107	Q	A	3
-19.5	-1.661	588.1404666000725	Q	C	2
6.58	-0.523	456.89038872429614	P	A	1
21.33	-2.124	625.0376104873715	Q	B	2
13.59	-1.869	505.2039635131909	P	D	0
-5.550000000000001	1.298	544.8176973781398	P	D	1
32.68	0.111	810.212029098459	P	C	1
-8.02	0.755	1020.0186302116867	Q	D	1
18.83	-2.302	410.1736075986944	Q	D	0
15.26	-2.242	559.3690393292774	Q	B	2
-23.35	-2.372	408.1598004855741	P	C	2
-17.549999999999997	0.997	721.7626044375565	P	D	1
-8.62	-0.761	583.4173669428636	Q	A	0
-8.94	-0.648	782.4640903663617	Q	A	0
16.58	-1.24	562.9165457716372	Q	A	2
9.65	-0.549	648.8543954620375	Q	C	0
19.38	1.156	518.7879970117581	P	C	1
-12.729999999999999	0.834	577.8778910798295	Q	D	1
-24.55	-1.983	483.0401305709976	P	B	1
11.07	1.296	751.2849126672821	P	D	2
-17.12	1.267	597.5650855806003	P	B	3
16.11	-1.541	512.5827525429657	P	A	2
-15.14	1.493	758.5197813957141	P	B	3
20.08	-1.314	720.7774698175486	P	B	2
10.02	-1.332	925.6408929544332	P	A	2
13.95	-1.75	776.2140139140611	Q	A	2
19.72	-2.068	570.9800960772493	P	A	2
13.61	-2.434	593.9987251931883	Q	B	2
16.82	-2.025	535.8272422314625	Q	B	2
-9.559999999999999	2.63	756.297327484053	P	D	1
